00010113_411790607l032230000_2l631031000000d0   1.3   16.0  INT7  0  0  0  1.3  14  2.4  8  bla bla bla bla
0008e113_411790607l032230000_2l631031000000d0   8.0   16.0  EG2   0  0  0  8.   26  8    50 bla bla bla 00010113_411790607l032230000_2l631031000000d0
0008d113_411790607l032230000_2l631031000000d0   12.0  40    EG1   1  0  0  16.  26  16   50 bla bla bla 0008e113_411790607l032230000_2l631031000000d0
